"id","word","phonetic","part_of_speech","meaning_zh","notes"
"4151","combat","/ˈkɒmbæt/","v.","打擊；競鬥","combat + crime / terrorism / inflation：對抗犯罪、恐怖主義、通貨膨脹"
"4152","comedian","/kəˈmiːdiən/","n.","單口喜劇演員；喜劇演員","a stand-up comedian：單口喜劇演員"
"4153","commentary","/ˈkɒməntri/","n.","評論","a commentary on sth.：我對某事的評論"
"4154","commission","/kəˈmɪʃən/","n.","佣金；委託","用法：委託；佣金"
"4155","commitment","/kəˈmɪtmənt/","n.","承諾；奉獻","make a commitment：作出承諾"
"4156","commodity","/kəˈmɒdəti/","n.","商品","merchandise = goods"
"4157","communism","/ˈkɒmjʊnɪzəm/","n.","共產主義","communist n.：共產黨者"
"4158","commute","/kəˈmjuːt/","vi.","通勤","commuter n.：通勤者"
"4159","compact","/kəmˈpækt/","adj.","小型的；小的","miniature：小型的"
"4160","comparable","/ˈkɒmpərəbəl/","adj.","可比較的","comparable to / with sb. / sth.；incomparable：無與倫比"
"4161","compassion","/kəmˈpæʃən/","n.","同情心","show compassion：表現同情心；compassionate adj.：同情的"
"4162","compatible","/kəmˈpætəbəl/","adj.","相容的；合得來的","be compatible with...；incompatible：不相容的"
"4163","compel","/kəmˈpel/","vt.","強迫","force = urge"
"4164","compensate","/ˈkɒmpenseɪt/","v.","補償","compensation n.：補償金；reimburse：報銷"
"4165","competence","/ˈkɒmpɪtəns/","n.","稱職的；有能力的","capability = faculty = ability"
"4166","competent","/ˈkɒmpɪtənt/","adj.","有能力的；稱職的","competent = capable"
"4167","complexity","/kəmˈpleksəti/","n.","複雜","complex adj.：複雜的；simplicity = clarity"
"4168","complication","/ˌkɒmplɪˈkeɪʃən/","n.","複雜；感染；併發症","complicate v.：複雜"
"4169","comply","/kəmˈplaɪ/","vi.","遵守","comply with sth.：遵守；compliance n.：遵守"
"4170","component","/kəmˈpəʊnənt/","n.","成分；零件","key / integral / essential + component：關鍵／重要的元素"
"4171","compound","/ˈkɒmpaʊnd/","n.","化合物；複合物","element = part = ingredient"
"4172","comprehend","/ˌkɒmprɪˈhend/","v.","理解","comprehension n.：理解；understand = grasp"
"4173","comprise","/kəmˈpraɪz/","vt.","組成；包含","comprise a group / team；include = contain = encompass"
"4174","compromise","/ˈkɒmprəmaɪz/","v.","妥協；讓步","one's reputation is compromised：某人聲譽受損"
"4175","compulsory","/kəmˈpʌlsəri/","adj.","義務的；強迫的","mandatory = required = obligatory"
"4176","conceal","/kənˈsiːl/","v.","隱藏","hide"
"4177","concede","/kənˈsiːd/","v.","承認；讓步","concede sth. / that S. + V.；acknowledge = admit"
"4178","conceive","/kənˈsiːv/","v.","想像；領會；懷孕","conceive of A as B：視 A 為 B；conceive (a child)：懷孕"
"4179","conception","/kənˈsepʃən/","n.","概念；受胎","a conception of sth.：對某事的概念"
"4180","condemn","/kənˈdem/","v.","譴責","denounce：譴責"
"4181","conduct","/kənˈdʌkt/","vi.","引導；舉辦","conduct research / study / investigation / interview / survey"
"4182","confidential","/ˌkɒnfɪˈdenʃəl/","adj.","機密的","off the record：非公開；public：公開的"
"4183","confine","/kənˈfaɪn/","vt.","限制；禁錮","confine A to B；limit = restrain"
"4184","conform","/kənˈfɔːm/","vt./vi.","遵守；一致","conform to sth.：遵守；comply with = abide by = observe = obey"
"4185","confront","/kənˈfrʌnt/","vt.","使面對；對抗","confront danger：勇敢面對危險"
"4186","consecutive","/kənˈsekjətɪv/","adj.","連續；不間斷的","For ... consecutive days：連續幾天"
"4187","consensus","/kənˈsensəs/","n.","共識","general consensus：一致共識；reach a consensus：達成共識"
"4188","consent","/kənˈsent/","v./n.","同意","consent to sth. / V.；agree：同意；refuse：拒絕"
"4189","conservation","/ˌkɒnsəˈveɪʃən/","n.","保護；節約","energy / water / wildlife / environmental + conservation"
"4190","considerate","/kənˈsɪdərət/","adj.","體貼的","be considerate of sb.；thoughtful = kind；inconsiderate = careless"
"4191","constitutional","/ˌkɒnstɪˈtjuːʃənl/","adj.","憲法的","constitutional amendment / right：憲法修正／權利"
"4192","constraint","/kənˈstreɪnt/","n.","限制；束縛","constraint on sth.：限制"
"4193","consultation","/ˌkɒnsəlˈteɪʃən/","n.","會商；諮詢","be in consultation：正在商議；consultation = conference"
"4194","consumption","/kənˈsʌmpʃən/","n.","消耗；吃；喝","consume v.：消耗；consumption = use"
"4195","contagious","/kənˈteɪdʒəs/","adj.","傳染性的","contagious disease：傳染性疾病；infectious：傳染的"
"4196","contaminate","/kənˈtæmɪneɪt/","vt.","污染","contamination n.：污染；pollute：污染"
"4197","contemplate","/ˈkɒntəmpleɪt/","vt.","深思；仔細考慮","contemplate + V-ing / sth.；consider = ponder = reflect on"
"4198","contemporary","/kənˈtempərəri/","adj.","當代的；同時代的","contemporary with...；modern：現代的；ancient：古代的"
"4199","contempt","/kənˈtempt/","n.","輕蔑；鄙視","contempt for...：對某人或某物的鄙視"
"4200","contend","/kənˈtend/","v.","競爭；主張","contend for sth.：競爭某物；contend that S. + V.：主張"
